INFO 2020-07-20 20:13:40,398 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-20 20:13:40,399 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-20 20:13:40,414 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-20 20:13:40,416 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-21 20:52:25,120 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-21 20:52:28,579 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-21 20:52:28,627 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-21 20:52:28,628 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-21 20:52:28,642 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-21 20:52:28,644 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-21 20:54:24,942 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-21 20:54:24,994 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-21 20:54:24,996 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-21 20:54:25,008 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-21 20:54:25,010 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-21 20:54:50,151 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-21 20:54:50,302 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-21 20:54:50,317 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-21 20:54:50,338 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-21 20:54:50,343 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 11:16:43,586 autoreload 222 /Users/chenfeng/PycharmProjects/luffyapi/luffyapi/apps/user/models.py changed, reloading.
INFO 2020-07-22 11:16:44,448 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-22 17:14:26,237 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 17:14:26,439 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 17:14:26,441 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 17:14:26,455 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 17:14:26,455 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 17:15:39,776 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 17:16:36,344 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 17:16:36,397 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 17:16:36,397 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 17:16:36,411 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 17:16:36,412 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 17:16:56,280 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 17:16:56,320 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 17:16:56,322 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 17:16:56,335 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 17:16:56,336 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 17:17:41,801 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 17:17:41,834 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 17:17:41,836 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 17:17:41,851 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 17:17:41,851 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 17:18:02,954 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 17:18:02,990 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 17:18:02,991 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 17:18:03,006 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 17:18:03,007 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 17:18:13,360 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 17:18:13,465 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 17:18:13,466 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 17:18:13,480 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 17:18:13,480 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 17:18:36,663 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 17:18:36,823 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 17:18:36,863 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 17:18:36,864 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 17:18:36,875 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 17:18:36,876 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 17:21:29,503 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 17:21:29,542 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 17:21:29,549 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 17:21:29,562 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 17:21:29,563 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 17:21:52,206 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 17:21:52,316 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 17:21:52,317 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 17:21:52,328 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 17:21:52,329 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 20:23:20,902 autoreload 222 /Users/chenfeng/PycharmProjects/luffyapi/luffyapi/apps/user/admin.py changed, reloading.
INFO 2020-07-22 20:23:21,048 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-22 20:23:21,433 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-22 20:23:59,201 autoreload 222 /Users/chenfeng/PycharmProjects/luffyapi/luffyapi/apps/user/admin.py changed, reloading.
INFO 2020-07-22 20:23:59,720 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-22 20:23:59,926 autoreload 598 Watching for file changes with StatReloader
